SETTLEMENTDATE,timestamp_utc,asset_label,Station Name,DUID,Region,Participant,Dispatch Type,SCADAVALUE,SIGNED_MW,ABS_MW,BESS_STATE,REGION_RRP,REGION_TOTALDEMAND,MAX_DISCHARGE_MW,MAX_CHARGE_MW,STORAGE_MWH,utilisation_pct,Latitude,Longitude,Category,Fuel Source - Primary,Technology Type - Primary
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Hazelwood BESS (HBESS1),Hazelwood BESS,HBESS1,VIC1,Hazelwood BESS Project Co Pty Ltd as Trustee for the HBESS Asset Trust,Bidirectional Unit,-0.3,-0.3,0.3,Idle,8.94,6221.5,150.0,150.0,150.0,0.2,-38.271833,146.390879,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Hornsdale Power Reserve (HPR1),Hornsdale Power Reserve,HPR1,SA1,Hornsdale Power Reserve Pty Ltd,Bidirectional Unit,-0.4,-0.4,0.4,Idle,101.02,1745.77,150.0,150.0,194.0,0.27,-33.187,138.5863,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Happy Valley Water Treatment Plant (HVWWBA1),Happy Valley Water Treatment Plant,HVWWBA1,SA1,South Australian Water Corporation,Bidirectional Unit,4.01,4.01,4.01,Discharging,101.02,1745.77,4.0,4.0,4.0,100.25,-35.073,138.572,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Koorangie BESS (KESSB1),Koorangie BESS,KESSB1,VIC1,Shell Energy Retail Pty Ltd,Bidirectional Unit,-0.24,-0.24,0.24,Idle,8.94,6221.5,185.0,185.0,370.0,0.13,-35.733,143.921,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Lake Bonney BESS1 (LBB1),Lake Bonney BESS1,LBB1,SA1,Lake Bonney Wind Power Pty Ltd,Bidirectional Unit,-0.15,-0.15,0.15,Idle,101.02,1745.77,25.0,52.0,52.0,0.29,-37.738,140.39967,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Latrobe Valley BESS (LVES1),Latrobe Valley BESS,LVES1,VIC1,Latrobe Valley BESS as the Trustee for Latrobe Valley BESS Project Trust,Bidirectional Unit,-0.37,-0.37,0.37,Idle,8.94,6221.5,100.0,100.0,200.0,0.37,-38.2325,146.4068,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Mannum BESS (MANNUMB1),Mannum BESS,MANNUMB1,SA1,Mannum Stage 2 Battery SubCo Pty Ltd as trustee for the Mannum Stage 2 Battery Unit Trust,Bidirectional Unit,41.06,41.06,41.06,Discharging,101.02,1745.77,100.0,100.0,200.0,41.06,-34.9,139.3,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Melbourne Renewable Energy Hub Connection A1 (MREHA1),Melbourne Renewable Energy Hub Connection A1,MREHA1,VIC1,Equis Energy (Australia) Projects (MREH A1 AssetCo) Pty Ltd as trustee for Equis Energy (Australia) MREH A1 Asset Trust,Bidirectional Unit,-0.55,-0.55,0.55,Idle,8.94,6221.5,200.0,200.0,400.0,0.28,-38.05,142.19,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Melbourne Renewable Energy Hub Connection A2 (MREHA2),Melbourne Renewable Energy Hub Connection A2,MREHA2,VIC1,Equis Energy (Australia) Projects (MREH A2 AssetCo) Pty Ltd as The Trustee for Equis Energy (Australia) MREH A2 Asset Trust,Bidirectional Unit,-0.61,-0.61,0.61,Idle,8.94,6221.5,200.0,200.0,400.0,0.3,-38.05,142.19,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Phillip Island BESS (PIBESS1),Phillip Island BESS,PIBESS1,VIC1,Mondo Metering Pty Ltd,Bidirectional Unit,-0.06,-0.06,0.06,Idle,8.94,6221.5,5.0,5.0,11.9264,1.2,-38.4842,145.2443,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Queanbeyan BESS (QBYNB1),Queanbeyan BESS,QBYNB1,NSW1,Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Bidirectional Unit,-0.07,-0.07,0.07,Idle,58.64245,8949.36,10.0,10.0,20.0,0.7,-35.3528,149.2325,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Rangebank BESS (RANGEB1),Rangebank BESS,RANGEB1,VIC1,Shell Energy Retail Pty Ltd,Bidirectional Unit,-0.72,-0.72,0.72,Idle,8.94,6221.5,200.0,200.0,400.0,0.36,-38.0848,145.2653,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Riverina BESS 1 (RESS1),Riverina BESS 1,RESS1,NSW1,Shell Energy Retail Pty Ltd,Bidirectional Unit,0.0,0.0,0.0,Idle,58.64245,8949.36,60.0,60.0,120.0,0.0,-34.6,146.0,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Riverena BESS 2 (RIVNB2),Riverena BESS 2,RIVNB2,NSW1,EnergyAustralia Pty Ltd,Bidirectional Unit,0.08,0.08,0.08,Idle,58.64245,8949.36,65.0,65.0,130.0,0.12,-34.65,146.03,Market,Battery storage,Storage
